,Country,Category,Plant type,Capital costs,O&M,Fuel (th),Fuel (el),Carbon,CHP heat revenues,LCOE,Unnamed: 10
0,,,,USD/MWh,USD/MWh,USD/MWh,USD/MWh,USD/MWh,USD/MWh,USD/MWh,USD/MWh
115,China,Wind,Wind offshore (50.0 MW),63.18,18.68,0.00,0.00,0.00,0.00,81.86,
116,United States of America,Wind,Wind offshore (600 MW),56.08,26.32,0.00,0.00,0.00,0.00,82.40,
117,China,Gas,Gas (CCGT) (475 MW),6.53,13.49,31.05,53.53,10.45,0.00,84.00,
118,Australia,Wind,Wind offshore (100 MW),67.29,18.07,0.00,0.00,0.00,0.00,85.36,
119,Italy,Hydro,Run of river (< 5 MW) (0.69 MW),73.44,12.47,0.00,0.00,0.00,0.00,85.91,
120,Hungary,Solar,Solar PV (utility scale) (20.0 MW),74.98,11.06,0.00,0.00,0.00,0.00,86.05,
121,Canada,Gas,Gas (OCGT/int. comb.) (100 MW),36.41,8.70,10.92,26.44,14.67,0.00,86.22,
122,Netherlands,Solar,Solar PV (floating) (8.0 MW),63.66,22.73,0.00,0.00,0.00,0.00,86.39,
123,Australia,Gas,Gas (CCGT) (506 MW),11.14,6.59,26.63,56.04,12.75,0.00,86.51,
124,Japan,Nuclear,ALWR (1152 MW),46.92,25.84,0.00,13.92,0.00,0.00,86.67,
125,"Korea, Republic of",Gas,Gas (CCGT) (982 MW),9.78,8.41,34.12,58.23,10.34,0.00,86.76,
126,United States of America,Hydro,Run of river (>= 5 MW) (median case) (94.0 MW),81.85,5.35,0.00,0.00,0.00,0.00,87.20,
127,Belgium,Wind,Wind offshore (50.0 MW),59.79,27.64,0.00,0.00,0.00,0.00,87.43,
128,Canada,Solar,Solar PV (utility scale) (20.0 MW),68.59,19.36,0.00,0.00,0.00,0.00,87.94,
129,United States of America,Coal,Supercritical pulverised (650 MW),28.95,17.20,7.31,17.51,24.47,0.00,88.13,
130,United States of America,Coal,Pulverised (650 MW),27.78,17.01,7.31,18.23,25.48,0.00,88.50,
131,Italy,Wind,Wind onshore (< 1 MW) (0.83 MW),75.87,12.91,0.00,0.00,0.00,0.00,88.78,
132,Netherlands,Solar,Solar PV (commercial) (0.20 MW),64.33,25.17,0.00,0.00,0.00,0.00,89.50,
133,France,Wind,Wind offshore (500 MW),67.36,22.46,0.00,0.00,0.00,0.00,89.82,
134,United States of America,Hydro,Run of river (>= 5 MW) (82.2 MW),84.28,5.93,0.00,0.00,0.00,0.00,90.21,
135,Belgium,Solar,Solar PV (utility scale) (1.0 MW),77.43,12.78,0.00,0.00,0.00,0.00,90.22,
136,United States of America,Hydro,Run of river (< 5 MW) (4.2 MW),66.10,24.42,0.00,0.00,0.00,0.00,90.52,
137,Australia,Coal,Supercritical pulverised (722 MW),27.28,8.69,11.89,29.66,25.47,0.00,91.10,
138,Italy,Wind,Wind onshore (>= 1 MW) (1.0 MW),76.88,14.56,0.00,0.00,0.00,0.00,91.44,
139,Japan,Gas,Gas (CCGT) (1372 MW),12.93,7.70,34.12,61.04,10.84,0.00,92.52,
140,Australia,Lignite,Supercritical pulverised (709 MW),42.11,11.26,1.63,5.13,34.36,0.00,92.86,
141,United States of America,Wind,Wind onshore (>= 1 MW) (100 MW),76.39,16.49,0.00,0.00,0.00,0.00,92.88,
142,United States of America,Geothermal,Geothermal (25.0 MW),68.35,25.19,0.00,0.00,0.00,0.00,93.54,
143,United States of America,Wind,Wind offshore (600 MW),68.93,24.66,0.00,0.00,0.00,0.00,93.59,
144,Italy,Solar,Solar PV (commercial) (0.42 MW),75.46,18.28,0.00,0.00,0.00,0.00,93.74,
145,Italy,Hydro,Hydro reservoir (>= 5 MW) (15.0 MW),75.80,18.37,0.00,0.00,0.00,0.00,94.16,
146,United States of America,Solar,Solar PV (commercial) (median case) (0.30 MW),86.81,7.37,0.00,0.00,0.00,0.00,94.18,
147,Belgium,Wind,Wind offshore (12.0 MW),59.79,35.41,0.00,0.00,0.00,0.00,95.20,
148,Denmark,CHP,Biomass (CHP) (258 MW),49.27,19.36,32.80,76.87,0.00,-50.25,95.25,
149,"Korea, Republic of",Gas,Gas (CCGT) (491 MW),12.91,11.36,34.12,60.82,10.80,0.00,95.89,
150,"Korea, Republic of",Solar,Solar PV (utility scale) (3.0 MW),84.24,12.32,0.00,0.00,0.00,0.00,96.57,
151,Brazil,Lignite,Coal (900 MW),24.55,8.60,10.80,31.76,32.03,0.00,96.94,
152,Italy,Hydro,Run of river (< 5 MW) (0.25 MW),75.50,22.09,0.00,0.00,0.00,0.00,97.59,
153,"Korea, Republic of",Solar,Solar PV (commercial) (0.099 MW),85.23,12.91,0.00,0.00,0.00,0.00,98.13,
154,Italy,Hydro,Run of river (< 5 MW) (0.10 MW),81.35,17.01,0.00,0.00,0.00,0.00,98.36,
155,Italy,Wind,Wind onshore (< 1 MW) (0.50 MW),78.55,20.38,0.00,0.00,0.00,0.00,98.94,
